IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta,IdLocal
1,2024-05-07,3,3,Televisor 40,1,1550.0,1550.0,1
2,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,1
3,2024-05-05,1,1,Lavadora,1,890.0,890.0,1
4,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,1
5,2024-05-06,1,4,Televisor 52,3,890.0,2670.0,1
6,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,1
7,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,1
8,2024-05-06,1,3,Televisor 52,1,890.0,890.0,1
9,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,1
10,2024-05-07,3,3,Televisor 40,1,1550.0,1550.0,1
11,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,1
12,2024-05-08,3,1,Lavadora,3,2750.0,8250.0,1
13,2024-05-08,3,2,Televisor 52,3,950.0,2850.0,1
14,2024-05-08,1,2,Televisor 52,3,950.0,2850.0,1
15,2024-05-06,3,4,Refrigerador LG,1,1550.0,1550.0,1
16,2024-05-08,1,2,Televisor 52,3,950.0,2850.0,1
17,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,1
18,2024-05-08,1,4,Televisor 52,1,2750.0,2750.0,1
19,2024-05-08,3,2,Televisor 52,1,1550.0,1550.0,1
20,2024-05-05,1,1,Televisor 52,3,2750.0,8250.0,1
21,2024-05-08,3,4,Televisor 52,1,890.0,890.0,1
22,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,1
23,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,1
24,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,1
25,2024-05-06,2,2,Lavadora,3,890.0,2670.0,1
26,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,1
27,2024-05-06,1,4,Televisor 52,3,1550.0,4650.0,1
28,2024-05-05,1,1,Lavadora,1,890.0,890.0,1
29,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,1
30,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,1
31,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,1
32,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,1
33,2024-05-05,2,4,Refrigerador LG,1,890.0,890.0,1
34,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,1
35,2024-05-07,2,2,Refrigerador LG,3,1550.0,4650.0,1
36,2024-05-06,1,4,Televisor 52,3,1550.0,4650.0,1
37,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,1
38,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,1
39,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,1
40,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,1
41,2024-05-08,3,1,Lavadora,3,2750.0,8250.0,1
42,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,1
43,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,1
44,2024-05-08,3,4,Televisor 52,1,890.0,890.0,1
45,2024-05-07,2,2,Refrigerador LG,3,1550.0,4650.0,1
46,2024-05-07,3,3,Televisor 40,1,1550.0,1550.0,1
47,2024-05-05,3,4,Refrigerador LG,2,1550.0,3100.0,1
48,2024-05-06,1,3,Televisor 52,1,890.0,890.0,1
49,2024-05-06,3,4,Refrigerador LG,1,1550.0,1550.0,1
50,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,1
51,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,1
52,2024-05-08,3,4,Televisor 52,1,890.0,890.0,1
53,2024-05-08,3,2,Televisor 52,3,950.0,2850.0,1
54,2024-05-06,1,1,Refrigerador LG,1,2750.0,2750.0,1
55,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,1
56,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,1
57,2024-05-05,3,4,Refrigerador LG,2,1550.0,3100.0,1
58,2024-05-08,3,2,Televisor 52,3,950.0,2850.0,1
59,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,1
60,2024-05-05,1,1,Lavadora,1,890.0,890.0,1
61,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,1
62,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,1
63,2024-05-06,3,1,Refrigerador LG,1,1550.0,1550.0,1
64,2024-05-09,3,2,Refrigerador LG,2,1550.0,3100.0,1
65,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,1
66,2024-05-06,2,2,Lavadora,3,890.0,2670.0,1
67,2024-05-06,1,1,Refrigerador LG,1,2750.0,2750.0,1
68,2024-05-05,2,1,Lavadora,1,950.0,950.0,1
69,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,1
70,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,1
71,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,1
72,2024-05-08,3,2,Televisor 52,3,950.0,2850.0,1
73,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,1
74,2024-05-08,1,4,Televisor 52,1,2750.0,2750.0,1
75,2024-05-05,2,1,Lavadora,1,950.0,950.0,1
76,2024-05-06,2,2,Lavadora,3,890.0,2670.0,1
77,2024-05-07,2,2,Refrigerador LG,3,1550.0,4650.0,1
78,2024-05-05,2,2,Televisor 52,3,890.0,2670.0,1
79,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,1
80,2024-05-06,1,4,Televisor 52,3,1550.0,4650.0,1
81,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,1
82,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,1
83,2024-05-06,1,4,Televisor 52,3,1550.0,4650.0,1
84,2024-05-08,3,1,Lavadora,3,2750.0,8250.0,1
85,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,1
86,2024-05-08,3,1,Lavadora,3,2750.0,8250.0,1
87,2024-05-08,1,3,Lavadora,3,1550.0,4650.0,1
88,2024-05-07,3,3,Televisor 40,1,1550.0,1550.0,1
89,2024-05-06,3,1,Refrigerador LG,1,1550.0,1550.0,1
90,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,1
91,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,1
92,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,1
93,2024-05-06,1,4,Televisor 52,3,1550.0,4650.0,1
94,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,1
95,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,1
96,2024-05-07,3,3,Televisor 40,1,1550.0,1550.0,1
97,2024-05-08,1,2,Televisor 52,3,950.0,2850.0,1
98,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,1
99,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,1
100,2024-05-08,3,4,Televisor 52,1,890.0,890.0,1
