IdTransaccion,Fecha,IdCategoria,IdProducto,Producto,Cantidad,PrecioUnitario,TotalVenta,IdLocal
1,2024-05-07,2,2,Refrigerador LG,3,1550.0,4650.0,3
2,2024-05-08,3,1,Refrigerador LG,2,950.0,1900.0,3
3,2024-05-09,1,1,Refrigerador LG,3,2750.0,8250.0,3
4,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,3
5,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,3
6,2024-05-09,3,2,Refrigerador LG,2,1550.0,3100.0,3
7,2024-05-05,2,1,Lavadora,1,950.0,950.0,3
8,2024-05-05,2,1,Lavadora,1,950.0,950.0,3
9,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,3
10,2024-05-06,2,2,Lavadora,3,890.0,2670.0,3
11,2024-05-08,1,2,Televisor 52,3,950.0,2850.0,3
12,2024-05-08,3,2,Televisor 52,1,1550.0,1550.0,3
13,2024-05-05,1,1,Televisor 52,3,2750.0,8250.0,3
14,2024-05-05,3,4,Refrigerador LG,2,1550.0,3100.0,3
15,2024-05-05,2,4,Refrigerador LG,1,890.0,890.0,3
16,2024-05-05,3,4,Refrigerador LG,2,1550.0,3100.0,3
17,2024-05-08,2,1,Televisor 52,2,890.0,1780.0,3
18,2024-05-08,1,3,Lavadora,3,1550.0,4650.0,3
19,2024-05-08,1,3,Lavadora,3,1550.0,4650.0,3
20,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,3
21,2024-05-05,3,4,Refrigerador LG,2,1550.0,3100.0,3
22,2024-05-06,1,4,Televisor 52,3,890.0,2670.0,3
23,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,3
24,2024-05-08,3,2,Televisor 52,1,1550.0,1550.0,3
25,2024-05-07,2,2,Refrigerador LG,3,1550.0,4650.0,3
26,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,3
27,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,3
28,2024-05-06,2,4,Refrigerador LG,3,890.0,2670.0,3
29,2024-05-08,1,2,Televisor 52,3,950.0,2850.0,3
30,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,3
31,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,3
32,2024-05-05,1,1,Televisor 52,3,2750.0,8250.0,3
33,2024-05-08,1,4,Televisor 52,1,2750.0,2750.0,3
34,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,3
35,2024-05-09,1,4,Televisor 52,3,2750.0,8250.0,3
36,2024-05-06,3,4,Refrigerador LG,1,1550.0,1550.0,3
37,2024-05-07,1,4,Televisor 40,1,1550.0,1550.0,3
38,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,3
39,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,3
40,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,3
41,2024-05-05,2,1,Lavadora,1,950.0,950.0,3
42,2024-05-06,3,1,Refrigerador LG,1,1550.0,1550.0,3
43,2024-05-06,1,3,Televisor 52,1,890.0,890.0,3
44,2024-05-06,1,3,Televisor 52,1,890.0,890.0,3
45,2024-05-06,2,2,Lavadora,3,890.0,2670.0,3
46,2024-05-06,1,3,Televisor 52,1,890.0,890.0,3
47,2024-05-06,3,4,Refrigerador LG,1,1550.0,1550.0,3
48,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,3
49,2024-05-06,2,2,Lavadora,3,890.0,2670.0,3
50,2024-05-05,1,1,Televisor 40,3,890.0,2670.0,3
51,2024-05-06,1,4,Televisor 52,3,1550.0,4650.0,3
52,2024-05-08,2,3,Refrigerador LG,1,890.0,890.0,3
53,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,3
54,2024-05-08,1,3,Lavadora,3,1550.0,4650.0,3
55,2024-05-08,1,4,Televisor 52,1,2750.0,2750.0,3
56,2024-05-05,3,4,Refrigerador LG,2,1550.0,3100.0,3
57,2024-05-05,2,1,Lavadora,1,950.0,950.0,3
58,2024-05-06,3,1,Refrigerador LG,1,1550.0,1550.0,3
59,2024-05-05,2,2,Lavadora,1,1550.0,1550.0,3
60,2024-05-08,3,2,Televisor 52,1,1550.0,1550.0,3
61,2024-05-06,2,2,Lavadora,3,890.0,2670.0,3
62,2024-05-05,1,1,Lavadora,1,890.0,890.0,3
63,2024-05-06,3,3,Televisor 52,1,2750.0,2750.0,3
64,2024-05-07,2,2,Refrigerador LG,3,1550.0,4650.0,3
65,2024-05-09,2,1,Refrigerador LG,3,1550.0,4650.0,3
66,2024-05-08,1,2,Televisor 52,3,950.0,2850.0,3
67,2024-05-05,2,1,Lavadora,1,950.0,950.0,3
68,2024-05-06,1,3,Televisor 52,1,890.0,890.0,3
69,2024-05-07,3,3,Televisor 40,1,1550.0,1550.0,3
70,2024-05-08,3,4,Televisor 52,1,890.0,890.0,3
71,2024-05-09,3,2,Refrigerador LG,2,1550.0,3100.0,3
72,2024-05-06,1,3,Televisor 52,1,890.0,890.0,3
73,2024-05-06,1,1,Refrigerador LG,1,2750.0,2750.0,3
74,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,3
75,2024-05-05,3,1,Televisor 40,2,890.0,1780.0,3
